id,name,name_ja
1,stench,あくしゅう
2,drizzle,あめふらし
3,speed-boost,かそく
4,battle-armor,カブトアーマー
5,sturdy,がんじょう
6,damp,しめりけ
7,limber,じゅうなん
8,sand-veil,すながくれ
9,static,せいでんき
10,volt-absorb,ちくでん
11,water-absorb,ちょすい
12,oblivious,どんかん
13,cloud-nine,ノーてんき
14,compound-eyes,ふくがん
15,insomnia,ふみん
16,color-change,へんしょく
17,immunity,めんえき
18,flash-fire,もらいび
19,shield-dust,りんぷん
20,own-tempo,マイペース
21,suction-cups,きゅうばん
22,intimidate,いかく
23,shadow-tag,かげふみ
24,rough-skin,さめはだ
25,wonder-guard,ふしぎなまもり
26,levitate,ふゆう
27,effect-spore,ほうし
28,synchronize,シンクロ
29,clear-body,クリアボディ
30,natural-cure,しぜんかいふく
31,lightning-rod,ひらいしん
32,serene-grace,てんのめぐみ
33,swift-swim,すいすい
34,chlorophyll,ようりょくそ
35,illuminate,はっこう
36,trace,トレース
37,huge-power,ちからもち
38,poison-point,どくのトゲ
39,inner-focus,せいしんりょく
40,magma-armor,マグマのよろい
41,water-veil,みずのベール
42,magnet-pull,じりょく
43,soundproof,ぼうおん
44,rain-dish,あめうけざら
45,sand-stream,すなおこし
46,pressure,プレッシャー
47,thick-fat,あついしぼう
48,early-bird,はやおき
49,flame-body,ほのおのからだ
50,run-away,にげあし
51,keen-eye,するどいめ
52,hyper-cutter,かいりきバサミ
53,pickup,ものひろい
54,truant,なまけ
55,hustle,はりきり
56,cute-charm,メロメロボディ
57,plus,プラス
58,minus,マイナス
59,forecast,てんきや
60,sticky-hold,ねんちゃく
61,shed-skin,だっぴ
62,guts,こんじょう
63,marvel-scale,ふしぎなうろこ
64,liquid-ooze,ヘドロえき
65,overgrow,しんりょく
66,blaze,もうか
67,torrent,げきりゅう
68,swarm,むしのしらせ
69,rock-head,いしあたま
70,drought,ひでり
71,arena-trap,ありじごく
72,vital-spirit,やるき
73,white-smoke,しろいけむり
74,pure-power,ヨガパワー
75,shell-armor,シェルアーマー
76,air-lock,エアロック
77,tangled-feet,ちどりあし
78,motor-drive,でんきエンジン
79,rivalry,とうそうしん
80,steadfast,ふくつのこころ
81,snow-cloak,ゆきがくれ
82,gluttony,くいしんぼう
83,anger-point,いかりのつぼ
84,unburden,かるわざ
85,heatproof,たいねつ
86,simple,たんじゅん
87,dry-skin,かんそうはだ
88,download,ダウンロード
89,iron-fist,てつのこぶし
90,poison-heal,ポイズンヒール
91,adaptability,てきおうりょく
92,skill-link,スキルリンク
93,hydration,うるおいボディ
94,solar-power,サンパワー
95,quick-feet,はやあし
96,normalize,ノーマルスキン
97,sniper,スナイパー
98,magic-guard,マジックガード
99,no-guard,ノーガード
100,stall,あとだし
101,technician,テクニシャン
102,leaf-guard,リーフガード
103,klutz,ぶきよう
104,mold-breaker,かたやぶり
105,super-luck,きょううん
106,aftermath,ゆうばく
107,anticipation,きけんよち
108,forewarn,よちむ
109,unaware,てんねん
110,tinted-lens,いろめがね
111,filter,フィルター
112,slow-start,スロースタート
113,scrappy,きもったま
114,storm-drain,よびみず
115,ice-body,アイスボディ
116,solid-rock,ハードロック
117,snow-warning,ゆきふらし
118,honey-gather,みつあつめ
119,frisk,おみとおし
120,reckless,すてみ
121,multitype,マルチタイプ
122,flower-gift,フラワーギフト
123,bad-dreams,ナイトメア
124,pickpocket,わるいてぐせ
125,sheer-force,ちからずく
126,contrary,あまのじゃく
127,unnerve,きんちょうかん
128,defiant,まけんき
129,defeatist,よわき
130,cursed-body,のろわれボディ
131,healer,いやしのこころ
132,friend-guard,フレンドガード
133,weak-armor,くだけるよろい
134,heavy-metal,ヘヴィメタル
135,light-metal,ライトメタル
136,multiscale,マルチスケイル
137,toxic-boost,どくぼうそう
138,flare-boost,ねつぼうそう
139,harvest,しゅうかく
140,telepathy,テレパシー
141,moody,ムラっけ
142,overcoat,ぼうじん
143,poison-touch,どくしゅ
144,regenerator,さいせいりょく
145,big-pecks,はとむね
146,sand-rush,すなかき
147,wonder-skin,ミラクルスキン
148,analytic,アナライズ
149,illusion,イリュージョン
150,imposter,かわりもの
151,infiltrator,すりぬけ
152,mummy,ミイラ
153,moxie,じしんかじょう
154,justified,せいぎのこころ
155,rattled,びびり
156,magic-bounce,マジックミラー
157,sap-sipper,そうしょく
158,prankster,いたずらごころ
159,sand-force,すなのちから
160,iron-barbs,てつのトゲ
161,zen-mode,ダルマモード
162,victory-star,しょうりのほし
163,turboblaze,ターボブレイズ
164,teravolt,テラボルテージ
165,aroma-veil,アロマベール
166,flower-veil,フラワーベール
167,cheek-pouch,ほおぶくろ
168,protean,へんげんじざい
169,fur-coat,ファーコート
170,magician,マジシャン
171,bulletproof,ぼうだん
172,competitive,かちき
173,strong-jaw,がんじょうあご
174,refrigerate,フリーズスキン
175,sweet-veil,スイートベール
176,stance-change,バトルスイッチ
177,gale-wings,はやてのつばさ
178,mega-launcher,メガランチャー
179,grass-pelt,くさのけがわ
180,symbiosis,きょうせい
181,tough-claws,かたいツメ
182,pixilate,フェアリースキン
183,gooey,ぬめぬめ
184,aerilate,スカイスキン
185,parental-bond,おやこあい
186,dark-aura,ダークオーラ
187,fairy-aura,フェアリーオーラ
188,aura-break,オーラブレイク
189,primordial-sea,はじまりのうみ
190,desolate-land,おわりのだいち
191,delta-stream,デルタストリーム
192,stamina,じきゅうりょく
193,wimp-out,にげごし
194,emergency-exit,ききかいひ
195,water-compaction,みずがため
196,merciless,ひとでなし
197,shields-down,リミットシールド
198,stakeout,はりこみ
199,water-bubble,すいほう
200,steelworker,はがねつかい
201,berserk,ぎゃくじょう
202,slush-rush,ゆきかき
203,long-reach,えんかく
204,liquid-voice,うるおいボイス
205,triage,ヒーリングシフト
206,galvanize,エレキスキン
207,surge-surfer,サーフテール
208,schooling,ぎょぐん
209,disguise,ばけのかわ
210,battle-bond,きずなへんげ
211,power-construct,スワームチェンジ
212,corrosion,ふしょく
213,comatose,ぜったいねむり
214,queenly-majesty,じょおうのいげん
215,innards-out,とびだすなかみ
