id,name,name_ja,category,category_ja
1,master-ball,マスターボール,standard-balls,
2,ultra-ball,ハイパーボール,standard-balls,
3,great-ball,スーパーボール,standard-balls,
4,poke-ball,モンスターボール,standard-balls,
5,safari-ball,サファリボール,standard-balls,
6,net-ball,ネットボール,special-balls,
7,dive-ball,ダイブボール,special-balls,
8,nest-ball,ネストボール,special-balls,
9,repeat-ball,リピートボール,special-balls,
10,timer-ball,タイマーボール,special-balls,
11,luxury-ball,ゴージャスボール,special-balls,
12,premier-ball,プレミアボール,special-balls,
13,dusk-ball,ダークボール,special-balls,
14,heal-ball,ヒールボール,special-balls,
15,quick-ball,クイックボール,special-balls,
16,cherish-ball,プレシャスボール,special-balls,
17,potion,キズぐすり,healing,
18,antidote,どくけし,status-cures,
19,burn-heal,やけどなおし,status-cures,
20,ice-heal,こおりなおし,status-cures,
21,awakening,ねむけざまし,status-cures,
22,paralyze-heal,まひなおし,status-cures,
23,full-restore,かいふくのくすり,healing,
24,max-potion,まんたんのくすり,healing,
25,hyper-potion,すごいキズぐすり,healing,
26,super-potion,いいキズぐすり,healing,
27,full-heal,なんでもなおし,status-cures,
28,revive,げんきのかけら,revival,
29,max-revive,げんきのかたまり,revival,
30,fresh-water,おいしいみず,healing,
31,soda-pop,サイコソーダ,healing,
32,lemonade,ミックスオレ,healing,
33,moomoo-milk,モーモーミルク,healing,
34,energy-powder,ちからのこな,healing,
35,energy-root,ちからのねっこ,healing,
36,heal-powder,ばんのうごな,status-cures,
37,revival-herb,ふっかつそう,revival,
38,ether,ピーピーエイド,pp-recovery,
39,max-ether,ピーピーリカバー,pp-recovery,
40,elixir,ピーピーエイダー,pp-recovery,
41,max-elixir,ピーピーマックス,pp-recovery,
42,lava-cookie,フエンせんべい,status-cures,
43,berry-juice,きのみジュース,healing,
44,sacred-ash,せいなるはい,revival,
45,hp-up,マックスアップ,vitamins,
46,protein,タウリン,vitamins,
47,iron,ブロムヘキシン,vitamins,
48,carbos,インドメタシン,vitamins,
49,calcium,リゾチウム,vitamins,
50,rare-candy,ふしぎなアメ,vitamins,
51,pp-up,ポイントアップ,vitamins,
52,zinc,キトサン,vitamins,
53,pp-max,ポイントマックス,vitamins,
54,old-gateau,もりのヨウカン,status-cures,
55,guard-spec,エフェクトガード,stat-boosts,
56,dire-hit,クリティカット,stat-boosts,
57,x-attack,プラスパワー,stat-boosts,
58,x-defense,ディフェンダー,stat-boosts,
59,x-speed,スピーダー,stat-boosts,
60,x-accuracy,ヨクアタール,stat-boosts,
61,x-sp-atk,スペシャルアップ,stat-boosts,
62,x-sp-def,スペシャルガード,stat-boosts,
63,poke-doll,ピッピにんぎょう,spelunking,
64,fluffy-tail,エネコのシッポ,spelunking,
65,blue-flute,あおいビードロ,flutes,
66,yellow-flute,きいろビードロ,flutes,
67,red-flute,あかいビードロ,flutes,
68,black-flute,くろいビードロ,spelunking,
69,white-flute,しろいビードロ,spelunking,
70,shoal-salt,あさせのしお,collectibles,
71,shoal-shell,あさせのかいがら,collectibles,
72,red-shard,あかいかけら,collectibles,
73,blue-shard,あおいかけら,collectibles,
74,yellow-shard,きいろいかけら,collectibles,
75,green-shard,みどりのかけら,collectibles,
76,super-repel,シルバースプレー,spelunking,
77,max-repel,ゴールドスプレー,spelunking,
78,escape-rope,あなぬけのヒモ,spelunking,
79,repel,むしよけスプレー,spelunking,
80,sun-stone,たいようのいし,evolution,
81,moon-stone,つきのいし,evolution,
82,fire-stone,ほのおのいし,evolution,
83,thunder-stone,かみなりのいし,evolution,
84,water-stone,みずのいし,evolution,
85,leaf-stone,リーフのいし,evolution,
86,tiny-mushroom,ちいさなキノコ,loot,
87,big-mushroom,おおきなキノコ,loot,
88,pearl,しんじゅ,loot,
89,big-pearl,おおきなしんじゅ,loot,
90,stardust,ほしのすな,loot,
91,star-piece,ほしのかけら,loot,
92,nugget,きんのたま,loot,
93,heart-scale,ハートのウロコ,collectibles,
94,honey,あまいミツ,dex-completion,
95,growth-mulch,すくすくこやし,mulch,
96,damp-mulch,じめじめこやし,mulch,
97,stable-mulch,ながながこやし,mulch,
98,gooey-mulch,ねばねばこやし,mulch,
99,root-fossil,ねっこのカセキ,dex-completion,
100,claw-fossil,ツメのカセキ,dex-completion,
101,helix-fossil,かいのカセキ,dex-completion,
102,dome-fossil,こうらのカセキ,dex-completion,
103,old-amber,ひみつのコハク,dex-completion,
104,armor-fossil,たてのカセキ,dex-completion,
105,skull-fossil,ずがいのカセキ,dex-completion,
106,rare-bone,きちょうなホネ,loot,
107,shiny-stone,ひかりのいし,evolution,
108,dusk-stone,やみのいし,evolution,
109,dawn-stone,めざめいし,evolution,
110,oval-stone,まんまるいし,evolution,
111,odd-keystone,かなめいし,dex-completion,
112,adamant-orb,こんごうだま,species-specific,
113,lustrous-orb,しらたま,species-specific,
114,grass-mail,グラスメール,all-mail,
115,flame-mail,フレイムメール,all-mail,
116,bubble-mail,ブルーメール,all-mail,
117,bloom-mail,ブルームメール,all-mail,
118,tunnel-mail,トンネルメール,all-mail,
119,steel-mail,スチールメール,all-mail,
120,heart-mail,ラブラブメール,all-mail,
121,snow-mail,ブリザードメール,all-mail,
122,space-mail,スペースメール,all-mail,
123,air-mail,エアメール,all-mail,
124,mosaic-mail,モザイクメール,all-mail,
125,brick-mail,ブリックメール,all-mail,
126,cheri-berry,クラボのみ,medicine,
127,chesto-berry,カゴのみ,medicine,
128,pecha-berry,モモンのみ,medicine,
129,rawst-berry,チーゴのみ,medicine,
130,aspear-berry,ナナシのみ,medicine,
131,leppa-berry,ヒメリのみ,medicine,
132,oran-berry,オレンのみ,medicine,
133,persim-berry,キーのみ,medicine,
134,lum-berry,ラムのみ,medicine,
135,sitrus-berry,オボンのみ,medicine,
136,figy-berry,フィラのみ,picky-healing,
137,wiki-berry,ウイのみ,picky-healing,
138,mago-berry,マゴのみ,picky-healing,
139,aguav-berry,バンジのみ,picky-healing,
140,iapapa-berry,イアのみ,picky-healing,
141,razz-berry,ズリのみ,baking-only,
142,bluk-berry,ブリーのみ,baking-only,
143,nanab-berry,ナナのみ,baking-only,
144,wepear-berry,セシナのみ,baking-only,
145,pinap-berry,パイルのみ,baking-only,
146,pomeg-berry,ザロクのみ,effort-drop,
147,kelpsy-berry,ネコブのみ,effort-drop,
148,qualot-berry,タポルのみ,effort-drop,
149,hondew-berry,ロメのみ,effort-drop,
150,grepa-berry,ウブのみ,effort-drop,
151,tamato-berry,マトマのみ,effort-drop,
152,cornn-berry,モコシのみ,baking-only,
153,magost-berry,ゴスのみ,baking-only,
154,rabuta-berry,ラブタのみ,baking-only,
155,nomel-berry,ノメルのみ,baking-only,
156,spelon-berry,ノワキのみ,baking-only,
157,pamtre-berry,シーヤのみ,baking-only,
158,watmel-berry,カイスのみ,baking-only,
159,durin-berry,ドリのみ,baking-only,
160,belue-berry,ベリブのみ,baking-only,
161,occa-berry,オッカのみ,type-protection,
162,passho-berry,イトケのみ,type-protection,
163,wacan-berry,ソクノのみ,type-protection,
164,rindo-berry,リンドのみ,type-protection,
165,yache-berry,ヤチェのみ,type-protection,
166,chople-berry,ヨプのみ,type-protection,
167,kebia-berry,ビアーのみ,type-protection,
168,shuca-berry,シュカのみ,type-protection,
169,coba-berry,バコウのみ,type-protection,
170,payapa-berry,ウタンのみ,type-protection,
171,tanga-berry,タンガのみ,type-protection,
172,charti-berry,ヨロギのみ,type-protection,
173,kasib-berry,カシブのみ,type-protection,
174,haban-berry,ハバンのみ,type-protection,
175,colbur-berry,ナモのみ,type-protection,
176,babiri-berry,リリバのみ,type-protection,
177,chilan-berry,ホズのみ,type-protection,
178,liechi-berry,チイラのみ,in-a-pinch,
179,ganlon-berry,リュガのみ,in-a-pinch,
180,salac-berry,カムラのみ,in-a-pinch,
181,petaya-berry,ヤタピのみ,in-a-pinch,
182,apicot-berry,ズアのみ,in-a-pinch,
183,lansat-berry,サンのみ,in-a-pinch,
184,starf-berry,スターのみ,in-a-pinch,
185,enigma-berry,ナゾのみ,other,
186,micle-berry,ミクルのみ,in-a-pinch,
187,custap-berry,イバンのみ,in-a-pinch,
188,jaboca-berry,ジャポのみ,other,
189,rowap-berry,レンブのみ,other,
190,bright-powder,ひかりのこな,held-items,
191,white-herb,しろいハーブ,held-items,
