id,name,name_ja,type,category,power,accuracy,pp
1,pound,はたく,normal,physical,40,100,35
2,karate-chop,からてチョップ,fighting,physical,50,100,25
3,double-slap,おうふくビンタ,normal,physical,15,85,10
4,comet-punch,れんぞくパンチ,normal,physical,18,85,15
5,mega-punch,メガトンパンチ,normal,physical,80,85,20
6,pay-day,ネコにこばん,normal,physical,40,100,20
7,fire-punch,ほのおのパンチ,fire,physical,75,100,15
8,ice-punch,れいとうパンチ,ice,physical,75,100,15
9,thunder-punch,かみなりパンチ,electric,physical,75,100,15
10,scratch,ひっかく,normal,physical,40,100,35
11,vice-grip,はさむ,normal,physical,55,100,30
12,guillotine,ハサミギロチン,normal,physical,,30,5
13,razor-wind,かまいたち,normal,special,80,100,10
14,swords-dance,つるぎのまい,normal,status,,,20
15,cut,いあいぎり,normal,physical,50,95,30
16,gust,かぜおこし,flying,special,40,100,35
17,wing-attack,つばさでうつ,flying,physical,60,100,35
18,whirlwind,ふきとばし,normal,status,,,20
19,fly,そらをとぶ,flying,physical,90,95,15
20,bind,しめつける,normal,physical,15,85,20
21,slam,たたきつける,normal,physical,80,75,20
22,vine-whip,つるのムチ,grass,physical,45,100,25
23,stomp,ふみつけ,normal,physical,65,100,20
24,double-kick,にどげり,fighting,physical,30,100,30
25,mega-kick,メガトンキック,normal,physical,120,75,5
26,jump-kick,とびげり,fighting,physical,100,95,10
27,rolling-kick,まわしげり,fighting,physical,60,85,15
28,sand-attack,すなかけ,ground,status,,100,15
29,headbutt,ずつき,normal,physical,70,100,15
30,horn-attack,つのでつく,normal,physical,65,100,25
31,fury-attack,みだれづき,normal,physical,15,85,20
32,horn-drill,つのドリル,normal,physical,,30,5
33,tackle,たいあたり,normal,physical,40,100,35
34,body-slam,のしかかり,normal,physical,85,100,15
35,wrap,まきつく,normal,physical,15,90,20
36,take-down,とっしん,normal,physical,90,85,20
37,thrash,あばれる,normal,physical,120,100,10
38,double-edge,すてみタックル,normal,physical,120,100,15
39,tail-whip,しっぽをふる,normal,status,,100,30
40,poison-sting,どくばり,poison,physical,15,100,35
41,twineedle,ダブルニードル,bug,physical,25,100,20
42,pin-missile,ミサイルばり,bug,physical,25,95,20
43,leer,にらみつける,normal,status,,100,30
44,bite,かみつく,dark,physical,60,100,25
45,growl,なきごえ,normal,status,,100,40
46,roar,ほえる,normal,status,,,20
47,sing,うたう,normal,status,,55,15
48,supersonic,ちょうおんぱ,normal,status,,55,20
49,sonic-boom,ソニックブーム,normal,special,,90,20
50,disable,かなしばり,normal,status,,100,20
51,acid,ようかいえき,poison,special,40,100,30
52,ember,ひのこ,fire,special,40,100,25
53,flamethrower,かえんほうしゃ,fire,special,90,100,15
54,mist,しろいきり,ice,status,,,30
55,water-gun,みずでっぽう,water,special,40,100,25
56,hydro-pump,ハイドロポンプ,water,special,110,80,5
57,surf,なみのり,water,special,90,100,15
58,ice-beam,れいとうビーム,ice,special,90,100,10
59,blizzard,ふぶき,ice,special,110,70,5
60,psybeam,サイケこうせん,psychic,special,65,100,20
61,bubble-beam,バブルこうせん,water,special,65,100,20
62,aurora-beam,オーロラビーム,ice,special,65,100,20
63,hyper-beam,はかいこうせん,normal,special,150,90,5
64,peck,つつく,flying,physical,35,100,35
65,drill-peck,ドリルくちばし,flying,physical,80,100,20
66,submission,じごくぐるま,fighting,physical,80,80,20
67,low-kick,けたぐり,fighting,physical,,100,20
68,counter,カウンター,fighting,physical,,100,20
69,seismic-toss,ちきゅうなげ,fighting,physical,,100,20
70,strength,かいりき,normal,physical,80,100,15
71,absorb,すいとる,grass,special,20,100,25
72,mega-drain,メガドレイン,grass,special,40,100,15
73,leech-seed,やどりぎのタネ,grass,status,,90,10
74,growth,せいちょう,normal,status,,,20
75,razor-leaf,はっぱカッター,grass,physical,55,95,25
76,solar-beam,ソーラービーム,grass,special,120,100,10
77,poison-powder,どくのこな,poison,status,,75,35
78,stun-spore,しびれごな,grass,status,,75,30
79,sleep-powder,ねむりごな,grass,status,,75,15
80,petal-dance,はなびらのまい,grass,special,120,100,10
81,string-shot,いとをはく,bug,status,,95,40
82,dragon-rage,りゅうのいかり,dragon,special,,100,10
83,fire-spin,ほのおのうず,fire,special,35,85,15
84,thunder-shock,でんきショック,electric,special,40,100,30
85,thunderbolt,１０まんボルト,electric,special,90,100,15
86,thunder-wave,でんじは,electric,status,,90,20
87,thunder,かみなり,electric,special,110,70,10
88,rock-throw,いわおとし,rock,physical,50,90,15
89,earthquake,じしん,ground,physical,100,100,10
90,fissure,じわれ,ground,physical,,30,5
91,dig,あなをほる,ground,physical,80,100,10
92,toxic,どくどく,poison,status,,90,10
93,confusion,ねんりき,psychic,special,50,100,25
94,psychic,サイコキネシス,psychic,special,90,100,10
95,hypnosis,さいみんじゅつ,psychic,status,,60,20
96,meditate,ヨガのポーズ,psychic,status,,,40
97,agility,こうそくいどう,psychic,status,,,30
98,quick-attack,でんこうせっか,normal,physical,40,100,30
99,rage,いかり,normal,physical,20,100,20
100,teleport,テレポート,psychic,status,,,20
101,night-shade,ナイトヘッド,ghost,special,,100,15
102,mimic,ものまね,normal,status,,,10
103,screech,いやなおと,normal,status,,85,40
104,double-team,かげぶんしん,normal,status,,,15
105,recover,じこさいせい,normal,status,,,5
106,harden,かたくなる,normal,status,,,30
107,minimize,ちいさくなる,normal,status,,,10
108,smokescreen,えんまく,normal,status,,100,20
109,confuse-ray,あやしいひかり,ghost,status,,100,10
110,withdraw,からにこもる,water,status,,,40
111,defense-curl,まるくなる,normal,status,,,40
112,barrier,バリアー,psychic,status,,,20
113,light-screen,ひかりのかべ,psychic,status,,,30
114,haze,くろいきり,ice,status,,,30
115,reflect,リフレクター,psychic,status,,,20
116,focus-energy,きあいだめ,normal,status,,,30
117,bide,がまん,normal,physical,,,10
118,metronome,ゆびをふる,normal,status,,,10
119,mirror-move,オウムがえし,flying,status,,,20
120,self-destruct,じばく,normal,physical,200,100,5
121,egg-bomb,タマゴばくだん,normal,physical,100,75,10
122,lick,したでなめる,ghost,physical,30,100,30
123,smog,スモッグ,poison,special,30,70,20
124,sludge,ヘドロこうげき,poison,special,65,100,20
125,bone-club,ホネこんぼう,ground,physical,65,85,20
126,fire-blast,だいもんじ,fire,special,110,85,5
127,waterfall,たきのぼり,water,physical,80,100,15
128,clamp,からではさむ,water,physical,35,85,15
129,swift,スピードスター,normal,special,60,,20
130,skull-bash,ロケットずつき,normal,physical,130,100,10
131,spike-cannon,とげキャノン,normal,physical,20,100,15
132,constrict,からみつく,normal,physical,10,100,35
133,amnesia,ドわすれ,psychic,status,,,20
134,kinesis,スプーンまげ,psychic,status,,80,15
135,soft-boiled,タマゴうみ,normal,status,,,5
136,high-jump-kick,とびひざげり,fighting,physical,130,90,10
137,glare,へびにらみ,normal,status,,100,30
138,dream-eater,ゆめくい,psychic,special,100,100,15
139,poison-gas,どくガス,poison,status,,90,40
140,barrage,たまなげ,normal,physical,15,85,20
141,leech-life,きゅうけつ,bug,physical,80,100,10
142,lovely-kiss,あくまのキッス,normal,status,,75,10
143,sky-attack,ゴッドバード,flying,physical,140,90,5
144,transform,へんしん,normal,status,,,10
145,bubble,あわ,water,special,40,100,30
146,dizzy-punch,ピヨピヨパンチ,normal,physical,70,100,10
147,spore,キノコのほうし,grass,status,,100,15
148,flash,フラッシュ,normal,status,,100,20
149,psywave,サイコウェーブ,psychic,special,,100,15
150,splash,はねる,normal,status,,,40
151,acid-armor,とける,poison,status,,,20
152,crabhammer,クラブハンマー,water,physical,100,90,10
153,explosion,だいばくはつ,normal,physical,250,100,5
154,fury-swipes,みだれひっかき,normal,physical,18,80,15
155,bonemerang,ホネブーメラン,ground,physical,50,90,10
156,rest,ねむる,psychic,status,,,5
157,rock-slide,いわなだれ,rock,physical,75,90,10
158,hyper-fang,ひっさつまえば,normal,physical,80,90,15
159,sharpen,かくばる,normal,status,,,30
160,conversion,テクスチャー,normal,status,,,30
161,tri-attack,トライアタック,normal,special,80,100,10
162,super-fang,いかりのまえば,normal,physical,,90,10
163,slash,きりさく,normal,physical,70,100,20
164,substitute,みがわり,normal,status,,,10
165,struggle,わるあがき,normal,physical,50,,1
166,sketch,スケッチ,normal,status,,,1
167,triple-kick,トリプルキック,fighting,physical,10,90,10
168,thief,どろぼう,dark,physical,60,100,25
169,spider-web,クモのす,bug,status,,,10
170,mind-reader,こころのめ,normal,status,,,5
171,nightmare,あくむ,ghost,status,,100,15
172,flame-wheel,かえんぐるま,fire,physical,60,100,25
173,snore,いびき,normal,special,50,100,15
174,curse,のろい,ghost,status,,,10
175,flail,じたばた,normal,physical,,100,15
176,conversion-2,テクスチャー２,normal,status,,,30
177,aeroblast,エアロブラスト,flying,special,100,95,5
178,cotton-spore,わたほうし,grass,status,,100,40
179,reversal,きしかいせい,fighting,physical,,100,15
180,spite,うらみ,ghost,status,,100,10
181,powder-snow,こなゆき,ice,special,40,100,25
182,protect,まもる,normal,status,,,10
183,mach-punch,マッハパンチ,fighting,physical,40,100,30
184,scary-face,こわいかお,normal,status,,100,10
185,feint-attack,だましうち,dark,physical,60,,20
186,sweet-kiss,てんしのキッス,fairy,status,,75,10
187,belly-drum,はらだいこ,normal,status,,,10
188,sludge-bomb,ヘドロばくだん,poison,special,90,100,10
189,mud-slap,どろかけ,ground,special,20,100,10
190,octazooka,オクタンほう,water,special,65,85,10
191,spikes,まきびし,ground,status,,,20
192,zap-cannon,でんじほう,electric,special,120,50,5
193,foresight,みやぶる,normal,status,,,40
194,destiny-bond,みちづれ,ghost,status,,,5
195,perish-song,ほろびのうた,normal,status,,,5
196,icy-wind,こごえるかぜ,ice,special,55,95,15
197,detect,みきり,fighting,status,,,5
198,bone-rush,ボーンラッシュ,ground,physical,25,90,10
199,lock-on,ロックオン,normal,status,,,5
200,outrage,げきりん,dragon,physical,120,100,10
201,sandstorm,すなあらし,rock,status,,,10
202,giga-drain,ギガドレイン,grass,special,75,100,10
203,endure,こらえる,normal,status,,,10
204,charm,あまえる,fairy,status,,100,20
205,rollout,ころがる,rock,physical,30,90,20
206,false-swipe,みねうち,normal,physical,40,100,40
207,swagger,いばる,normal,status,,85,15
208,milk-drink,ミルクのみ,normal,status,,,5
209,spark,スパーク,electric,physical,65,100,20
210,fury-cutter,れんぞくぎり,bug,physical,40,95,20
211,steel-wing,はがねのつばさ,steel,physical,70,90,25
212,mean-look,くろいまなざし,normal,status,,,5
