id,name,name_ja,increased_stat,decreased_stat
1,hardy,がんばりや,,
2,bold,ずぶとい,defense,attack
3,modest,ひかえめ,special-attack,attack
4,calm,おだやか,special-defense,attack
5,timid,おくびょう,speed,attack
6,lonely,さみしがり,attack,defense
7,docile,すなお,,
8,mild,おっとり,special-attack,defense
9,gentle,おとなしい,special-defense,defense
10,hasty,せっかち,speed,defense
11,adamant,いじっぱり,attack,special-attack
12,impish,わんぱく,defense,special-attack
13,bashful,てれや,,
14,careful,しんちょう,special-defense,special-attack
15,rash,うっかりや,special-attack,special-defense
16,jolly,ようき,speed,special-attack
17,naughty,やんちゃ,attack,special-defense
18,lax,のうてんき,defense,special-defense
19,quirky,きまぐれ,,
20,naive,むじゃき,speed,special-defense
21,brave,ゆうかん,attack,speed
22,relaxed,のんき,defense,speed
23,quiet,れいせい,special-attack,speed
24,sassy,なまいき,special-defense,speed
25,serious,まじめ,,
