pokemon_id,ability_ids
1,"34,65"
2,"34,65"
3,"34,65"
4,"66,94"
5,"66,94"
6,"66,94"
7,"44,67"
8,"44,67"
9,"44,67"
10,"19,50"
11,61
12,"14,110"
13,"19,50"
14,61
15,"68,97"
16,"51,77,145"
17,"51,77,145"
18,"51,77,145"
19,"50,55,62"
20,"50,55,62"
21,"51,97"
22,"51,97"
23,"22,61,127"
24,"22,61,127"
25,"9,31"
26,"9,31"
27,"8,146"
28,"8,146"
29,"38,55,79"
30,"38,55,79"
31,"38,79,125"
32,"38,55,79"
33,"38,55,79"
34,"38,79,125"
35,"56,98,132"
36,"56,98,109"
37,"18,70"
38,"18,70"
39,"56,132,172"
40,"56,119,172"
41,"39,151"
42,"39,151"
43,"34,50"
44,"1,34"
45,"27,34"
46,"6,27,87"
47,"6,27,87"
48,"14,50,110"
49,"19,110,147"
50,"8,71,159"
51,"8,71,159"
52,"53,101,127"
53,"7,101,127"
54,"6,13,33"
55,"6,13,33"
56,"72,83,128"
57,"72,83,128"
58,"18,22,154"
59,"18,22,154"
60,"6,11,33"
61,"6,11,33"
62,"6,11,33"
63,"28,39,98"
64,"28,39,98"
65,"28,39,98"
66,"62,80,99"
67,"62,80,99"
68,"62,80,99"
69,"34,82"
70,"34,82"
71,"34,82"
72,"29,44,64"
73,"29,44,64"
74,"5,8,69"
75,"5,8,69"
76,"5,8,69"
77,"18,49,50"
78,"18,49,50"
79,"12,20,144"
80,"12,20,144"
81,"5,42,148"
82,"5,42,148"
83,"39,51,128"
84,"48,50,77"
85,"48,50,77"
86,"47,93,115"
87,"47,93,115"
88,"1,60,143"
89,"1,60,143"
90,"75,92,142"
91,"75,92,142"
92,26
93,26
94,130
95,"5,69,133"
96,"15,39,108"
97,"15,39,108"
98,"52,75,125"
99,"52,75,125"
100,"9,43,106"
101,"9,43,106"
102,"34,139"
103,"34,139"
104,"4,31,69"
105,"4,31,69"
106,"7,84,120"
107,"39,51,89"
108,"12,13,20"
109,"1,26,256"
110,"1,26,256"
111,"31,69,120"
112,"31,69,120"
113,"30,32,131"
114,"34,102,144"
115,"39,48,113"
116,"6,33,97"
117,"6,38,97"
118,"31,33,41"
119,"31,33,41"
120,"30,35,148"
121,"30,35,148"
122,"43,101,111"
123,"68,80,101"
124,"12,87,108"
125,"9,72"
126,"49,72"
127,"52,104,153"
128,"22,83,125"
129,"33,155"
130,"22,153"
131,"11,75,93"
132,"7,150"
133,"50,91,107"
134,"11,93"
135,"10,95"
136,"18,62"
137,"36,88,148"
138,"33,75,133"
139,"33,75,133"
140,"4,33,133"
141,"4,33,133"
142,"46,69,127"
143,"17,47,82"
144,"46,81"
145,"9,46"
146,"46,49"
147,"61,63"
148,"61,63"
149,"39,136"
150,"46,127"
151,28
152,"65,102"
153,"65,102"
154,"65,102"
155,"18,66"
156,"18,66"
157,"18,66"
158,"67,125"
159,"67,125"
160,"67,125"
161,"50,51,119"
162,"50,51,119"
163,"15,51,110"
164,"15,51,110"
165,"48,68,155"
166,"48,68,89"
167,"15,68,97"
168,"15,68,97"
169,"39,151"
170,"10,11,35"
171,"10,11,35"
172,"9,31"
173,"56,98,132"
174,"56,132,172"
175,"32,55,105"
176,"32,55,105"
177,"28,48,156"
178,"28,48,156"
179,"9,57"
180,"9,57"
181,"9,57"
182,"34,131"
183,"37,47,157"
184,"37,47,157"
185,"5,69,155"
186,"2,6,11"
187,"34,102,151"
188,"34,102,151"
189,"34,102,151"
190,"50,53,92"
191,"34,48,94"
192,"34,48,94"
193,"3,14,119"
194,"6,11,109"
195,"6,11,109"
196,"28,156"
197,"28,39"
198,"15,105,158"
199,"12,20,144"
200,26
201,26
202,"23,140"
203,"39,48,157"
204,"5,142"
205,"5,142"
206,"32,50,155"
207,"8,17,52"
208,"5,69,125"
209,"22,50,155"
210,"22,95,155"
211,"22,33,38"
212,"68,101,135"
213,"5,82,126"
214,"62,68,153"
215,"39,51,124"
216,"53,95,118"
217,"62,95,127"
218,"40,49,133"
219,"40,49,133"
220,"12,47,81"
221,"12,47,81"
222,"30,55,144"
223,"55,97,141"
224,"21,97,141"
225,"15,55,72"
226,"11,33,41"
227,"5,51,133"
228,"18,48,127"
229,"18,48,127"
230,"6,33,97"
231,"8,53"
232,"5,8"
233,"36,88,148"
234,"22,119,157"
235,"20,101,141"
236,"62,72,80"
237,"22,80,101"
238,"12,93,108"
239,"9,72"
240,"49,72"
241,"47,113,157"
242,"30,32,131"
243,"39,46"
244,"39,46"
245,"39,46"
246,"8,62"
247,61
248,"45,127"
249,"46,136"
250,"46,144"
251,30
252,"65,84"
253,"65,84"
254,"65,84"
255,"3,66"
256,"3,66"
257,"3,66"
258,"6,67"
259,"6,67"
260,"6,67"
261,"50,95,155"
262,"22,95,153"
263,"53,82,95"
264,"53,82,95"
265,"19,50"
266,61
267,"68,79"
268,61
269,"14,19"
270,"20,33,44"
271,"20,33,44"
272,"20,33,44"
273,"34,48,124"
274,"34,48,124"
275,"34,124,274"
276,"62,113"
277,"62,113"
278,"44,51,93"
279,"2,44,51"
280,"28,36,140"
281,"28,36,140"
282,"28,36,140"
283,"33,44"
284,"22,127"
285,"27,90,95"
286,"27,90,101"
287,54
288,72
289,54
290,"14,50"
291,"3,151"
292,25
293,"43,155"
294,"43,113"
295,"43,113"
296,"47,62,125"
297,"47,62,125"
298,"37,47,157"
299,"5,42,159"
300,"56,96,147"
301,"56,96,147"
302,"51,100,158"
303,"22,52,125"
304,"5,69,134"
305,"5,69,134"
306,"5,69,134"
307,"74,140"
308,"74,140"
309,"9,31,58"
310,"9,31,58"
311,"31,57"
312,"10,58"
313,"35,68,158"
314,"12,110,158"
315,"30,38,102"
316,"60,64,82"
317,"60,64,82"
318,"3,24"
319,"3,24"
320,"12,41,46"
321,"12,41,46"
322,"12,20,86"
323,"40,83,116"
324,"70,73,75"
325,"20,47,82"
326,"20,47,82"
327,"20,77,126"
328,"52,71,125"
329,26
330,26
331,"8,11"
332,"8,11"
333,"13,30"
334,"13,30"
335,"17,137"
336,"61,151"
337,26
338,26
339,"12,93,107"
340,"12,93,107"
341,"52,75,91"
342,"52,75,91"
343,26
344,26
345,"21,114"
346,"21,114"
347,"4,33"
348,"4,33"
349,"12,33,91"
350,"56,63,172"
351,59
352,"16,168"
353,"15,119,130"
354,"15,119,130"
355,"26,119"
356,"46,119"
357,"34,94,139"
358,26
359,"46,105,154"
360,"23,140"
361,"39,115,141"
362,"39,115,141"
363,"12,47,115"
364,"12,47,115"
365,"12,47,115"
366,"75,155"
367,"33,41"
368,"33,93"
369,"5,33,69"
370,"33,93"
371,"69,125"
372,"69,142"
373,"22,153"
374,"29,135"
375,"29,135"
376,"29,135"
377,"5,29"
378,"29,115"
379,"29,135"
380,26
381,26
382,2
383,70
384,76
385,32
386,46
387,"65,75"
388,"65,75"
389,"65,75"
390,"66,89"
391,"66,89"
392,"66,89"
393,"67,172"
394,"67,172"
395,"67,172"
396,"51,120"
397,"22,120"
398,"22,120"
399,"86,109,141"
400,"86,109,141"
401,"50,61"
402,"68,101"
403,"22,62,79"
404,"22,62,79"
405,"22,62,79"
406,"30,38,102"
407,"30,38,101"
408,"104,125"
409,"104,125"
410,"5,43"
411,"5,43"
412,"61,142"
413,"107,142"
414,"68,110"
415,"55,118"
416,"46,127"
417,"10,50,53"
418,"33,41"
419,"33,41"
420,34
421,122
422,"60,114,159"
423,"60,114,159"
424,"53,92,101"
425,"84,106,138"
426,"84,106,138"
427,"7,50,103"
428,"7,56,103"
429,26
430,"15,105,153"
431,"7,20,51"
432,"20,47,128"
433,26
434,"1,51,106"
435,"1,51,106"
436,"26,85,134"
437,"26,85,134"
438,"5,69,155"
439,"43,101,111"
440,"30,32,132"
441,"51,77,145"
