id,base_id,name,name_ja_form
10001,386,deoxys-attack,デオキシス（アタックフォルム）
10002,386,deoxys-defense,デオキシス（ディフェンスフォルム）
10003,386,deoxys-speed,デオキシス（スピードフォルム）
10004,413,wormadam-sandy,ミノマダム（すなちのミノ）
10005,413,wormadam-trash,ミノマダム（ゴミのミノ）
10006,492,shaymin-sky,シェイミ（スカイフォルム）
10007,487,giratina-origin,ギラティナ（オリジンフォルム）
10008,479,rotom-heat,ヒートロトム
10009,479,rotom-wash,ウォッシュロトム
10010,479,rotom-frost,フロストロトム
10011,479,rotom-fan,スピンロトム
10012,479,rotom-mow,カットロトム
10013,351,castform-sunny,ポワルン（たいようのすがた）
10014,351,castform-rainy,ポワルン（あまみずのすがた）
10015,351,castform-snowy,ポワルン（ゆきぐものすがた）
10016,550,basculin-blue-striped,バスラオ（あおすじのすがた）
10017,555,darmanitan-zen,ヒヒダルマ（ダルマモード）
10018,648,meloetta-pirouette,メロエッタ（ステップフォルム）
10019,641,tornadus-therian,トルネロス（れいじゅうフォルム）
10020,642,thundurus-therian,ボルトロス（れいじゅうフォルム）
10021,645,landorus-therian,ランドロス（れいじゅうフォルム）
10022,646,kyurem-black,キュレム（ブラックキュレム）
10023,646,kyurem-white,キュレム（ホワイトキュレム）
10024,647,keldeo-resolute,ケルディオ（かくごのすがた）
10025,678,meowstic-female,ニャオニクス（メスのすがた）
10026,681,aegislash-blade,ギルガルド（ブレードフォルム）
10027,710,pumpkaboo-small,バケッチャ（ちいさいサイズ）
10028,710,pumpkaboo-large,バケッチャ（おおきいサイズ）
10029,710,pumpkaboo-super,バケッチャ（とく大サイズ）
10030,711,gourgeist-small,パンプジン（ちいさいサイズ）
10031,711,gourgeist-large,パンプジン（おおきいサイズ）
10032,711,gourgeist-super,パンプジン（とく大サイズ）
10033,3,venusaur-mega,フシギバナ（メガシンカ）
10034,6,charizard-mega-x,リザードン（メガX）
10035,6,charizard-mega-y,リザードン（メガY）
10036,9,blastoise-mega,カメックス（メガシンカ）
