id,name,name_ja,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed
1,bulbasaur,フシギダネ,grass,poison,45,49,49,65,65,45
2,ivysaur,フシギソウ,grass,poison,60,62,63,80,80,60
3,venusaur,フシギバナ,grass,poison,80,82,83,100,100,80
4,charmander,ヒトカゲ,fire,,39,52,43,60,50,65
5,charmeleon,リザード,fire,,58,64,58,80,65,80
6,charizard,リザードン,fire,flying,78,84,78,109,85,100
7,squirtle,ゼニガメ,water,,44,48,65,50,64,43
8,wartortle,カメール,water,,59,63,80,65,80,58
9,blastoise,カメックス,water,,79,83,100,85,105,78
10,caterpie,キャタピー,bug,,45,30,35,20,20,45
11,metapod,トランセル,bug,,50,20,55,25,25,30
12,butterfree,バタフリー,bug,flying,60,45,50,90,80,70
13,weedle,ビードル,bug,poison,40,35,30,20,20,50
14,kakuna,コクーン,bug,poison,45,25,50,25,25,35
15,beedrill,スピアー,bug,poison,65,90,40,45,80,75
16,pidgey,ポッポ,normal,flying,40,45,40,35,35,56
17,pidgeotto,ピジョン,normal,flying,63,60,55,50,50,71
18,pidgeot,ピジョット,normal,flying,83,80,75,70,70,101
19,rattata,コラッタ,normal,,30,56,35,25,35,72
20,raticate,ラッタ,normal,,55,81,60,50,70,97
21,spearow,オニスズメ,normal,flying,40,60,30,31,31,70
22,fearow,オニドリル,normal,flying,65,90,65,61,61,100
23,ekans,アーボ,poison,,35,60,44,40,54,55
24,arbok,アーボック,poison,,60,95,69,65,79,80
25,pikachu,ピカチュウ,electric,,35,55,40,50,50,90
26,raichu,ライチュウ,electric,,60,90,55,90,80,110
27,sandshrew,サンド,ground,,50,75,85,20,30,40
28,sandslash,サンドパン,ground,,75,100,110,45,55,65
29,nidoran-f,ニドラン♀,poison,,55,47,52,40,40,41
30,nidorina,ニドリーナ,poison,,70,62,67,55,55,56
31,nidoqueen,ニドクイン,poison,ground,90,92,87,75,85,76
32,nidoran-m,ニドラン♂,poison,,46,57,40,40,40,50
33,nidorino,ニドリーノ,poison,,61,72,57,55,55,65
34,nidoking,ニドキング,poison,ground,81,102,77,85,75,85
35,clefairy,ピッピ,fairy,,70,45,48,60,65,35
36,clefable,ピクシー,fairy,,95,70,73,95,90,60
37,vulpix,ロコン,fire,,38,41,40,50,65,65
38,ninetales,キュウコン,fire,,73,76,75,81,100,100
39,jigglypuff,プリン,normal,fairy,115,45,20,45,25,20
40,wigglytuff,プクリン,normal,fairy,140,70,45,85,50,45
41,zubat,ズバット,poison,flying,40,45,35,30,40,55
42,golbat,ゴルバット,poison,flying,75,80,70,65,75,90
43,oddish,ナゾノクサ,grass,poison,45,50,55,75,65,30
44,gloom,クサイハナ,grass,poison,60,65,70,85,75,40
45,vileplume,ラフレシア,grass,poison,75,80,85,110,90,50
46,paras,パラス,bug,grass,35,70,55,45,55,25
47,parasect,パラセクト,bug,grass,60,95,80,60,80,30
48,venonat,コンパン,bug,poison,60,55,50,40,55,45
49,venomoth,モルフォン,bug,poison,70,65,60,90,75,90
50,diglett,ディグダ,ground,,10,55,25,35,45,95
51,dugtrio,ダグトリオ,ground,,35,100,50,50,70,120
52,meowth,ニャース,normal,,40,45,35,40,40,90
53,persian,ペルシアン,normal,,65,70,60,65,65,115
54,psyduck,コダック,water,,50,52,48,65,50,55
55,golduck,ゴルダック,water,,80,82,78,95,80,85
56,mankey,マンキー,fighting,,40,80,35,35,45,70
57,primeape,オコリザル,fighting,,65,105,60,60,70,95
58,growlithe,ガーディ,fire,,55,70,45,70,50,60
59,arcanine,ウインディ,fire,,90,110,80,100,80,95
60,poliwag,ニョロモ,water,,40,50,40,40,40,90
61,poliwhirl,ニョロゾ,water,,65,65,65,50,50,90
62,poliwrath,ニョロボン,water,fighting,90,95,95,70,90,70
63,abra,ケーシィ,psychic,,25,20,15,105,55,90
64,kadabra,ユンゲラー,psychic,,40,35,30,120,70,105
65,alakazam,フーディン,psychic,,55,50,45,135,95,120
66,machop,ワンリキー,fighting,,70,80,50,35,35,35
67,machoke,ゴーリキー,fighting,,80,100,70,50,60,45
68,machamp,カイリキー,fighting,,90,130,80,65,85,55
